product	baseline_sha256	replay_sha256	byte_identical
metrics.tsv	886e4a0e7a84e33e4fff9b84761eedc7202df3ed9f89635bee02ffc9c835aa99	886e4a0e7a84e33e4fff9b84761eedc7202df3ed9f89635bee02ffc9c835aa99	True
controls/s6301/single_copy_kmers.tsv	5ea7ced504f35cdec4f65b843fdca032431b25093bc770e1479437ec8923d9f4	5ea7ced504f35cdec4f65b843fdca032431b25093bc770e1479437ec8923d9f4	True
controls/s6302/single_copy_kmers.tsv	e9a8d5dd67ab3f108211b760ca1a6399a829127d8b52a182befaae047af77e17	e9a8d5dd67ab3f108211b760ca1a6399a829127d8b52a182befaae047af77e17	True
controls/s6303/single_copy_kmers.tsv	41e9ad6c0d11e4c49e67f8b008ee3da750e9b24aa9b20ce3cf0c21f579d52fcb	41e9ad6c0d11e4c49e67f8b008ee3da750e9b24aa9b20ce3cf0c21f579d52fcb	True
runs/s6301/condition_001/baseline_total_bases/output/copy_number.tsv	bfafd9cd42adb603895a24cea9420dbd19cdadeb2732bbd596639bba7b4cac61	bfafd9cd42adb603895a24cea9420dbd19cdadeb2732bbd596639bba7b4cac61	True
runs/s6301/condition_001/empirical_controls/output/copy_number.tsv	45e2424ca18cd6026d1506ab2f6cf166c8956bb76b817fc32d5b55593c834c43	45e2424ca18cd6026d1506ab2f6cf166c8956bb76b817fc32d5b55593c834c43	True
runs/s6301/condition_001/empirical_controls_plus_oracle_error/output/copy_number.tsv	45e2424ca18cd6026d1506ab2f6cf166c8956bb76b817fc32d5b55593c834c43	45e2424ca18cd6026d1506ab2f6cf166c8956bb76b817fc32d5b55593c834c43	True
runs/s6301/condition_001/oracle_error_survival/output/copy_number.tsv	bfafd9cd42adb603895a24cea9420dbd19cdadeb2732bbd596639bba7b4cac61	bfafd9cd42adb603895a24cea9420dbd19cdadeb2732bbd596639bba7b4cac61	True
runs/s6301/condition_002/baseline_total_bases/output/copy_number.tsv	325dc7cc45f0ebba8a09591f2b6d7ea02b7d439dbad386cc7e37c4ae0ea6c9dd	325dc7cc45f0ebba8a09591f2b6d7ea02b7d439dbad386cc7e37c4ae0ea6c9dd	True
runs/s6301/condition_002/empirical_controls/output/copy_number.tsv	258a3a2e63453fda497e414d0f7637ebef60872b4fc59455e6cd85b60fca8546	258a3a2e63453fda497e414d0f7637ebef60872b4fc59455e6cd85b60fca8546	True
runs/s6301/condition_002/empirical_controls_plus_oracle_error/output/copy_number.tsv	204e59b837c627559e67db58d0045cb699a5aac1fd87b68792339d2ea0c5f0f8	204e59b837c627559e67db58d0045cb699a5aac1fd87b68792339d2ea0c5f0f8	True
runs/s6301/condition_002/oracle_error_survival/output/copy_number.tsv	1ba47178ea42a84f624911dc83c0a098a47f4dfffec76b445d87f8a3200292e6	1ba47178ea42a84f624911dc83c0a098a47f4dfffec76b445d87f8a3200292e6	True
runs/s6301/condition_003/baseline_total_bases/output/copy_number.tsv	2bc5978436e683af0e28be75b7c608add429626c1cca6e81dfffe6e8196cf9f9	2bc5978436e683af0e28be75b7c608add429626c1cca6e81dfffe6e8196cf9f9	True
runs/s6301/condition_003/empirical_controls/output/copy_number.tsv	daab9c2bced37693b5483911f6ca560a8d93e233c006ecfff4c46c0fd8390312	daab9c2bced37693b5483911f6ca560a8d93e233c006ecfff4c46c0fd8390312	True
runs/s6301/condition_003/empirical_controls_plus_oracle_error/output/copy_number.tsv	626b25a57c495f7416ecfc4a43b9cc4300478c212cf5dc2d6b9c4264dce174c9	626b25a57c495f7416ecfc4a43b9cc4300478c212cf5dc2d6b9c4264dce174c9	True
runs/s6301/condition_003/oracle_error_survival/output/copy_number.tsv	9081da0240e7296552a2867cd02366ae56a89dbb9403047b53f430157692ba30	9081da0240e7296552a2867cd02366ae56a89dbb9403047b53f430157692ba30	True
runs/s6301/condition_004/baseline_total_bases/output/copy_number.tsv	a00ef928e4c2de24756db1374204b1d8631993fa0be6e66f5082630082ef1ebd	a00ef928e4c2de24756db1374204b1d8631993fa0be6e66f5082630082ef1ebd	True
